cell,a_old,a_new,b_old,b_new,cprime_old,cprime_new,ind_old,ind_new,ind_lo_old,ind_lo_new,ind_hi_old,ind_hi_new,sig_old,sig_new,flip
Male_MEM_CVR_mimic,-0.000405881269103099,-0.000105352486480849,0.153308292178869,0.171578689644424,0.00220284300144596,0.00221637899604921,-6.2224964193588e-05,-1.80762415811659e-05,-0.00239953319374447,-0.0025332687151898,0.00195437032581317,0.00242930798392136,FALSE,FALSE,FALSE
Male_MEM_FRS,0.0208742007044588,0.022109145309435,0.143034874215033,0.161120438689029,0.00181892268669456,0.00130223967820818,0.00298573867210161,0.00356223519129567,0.00109541537148117,0.00135648810564508,0.00562149988393261,0.00655209005839337,TRUE,TRUE,FALSE
Male_MEM_Age_bl,-0.00447526433919989,-0.00455875908895708,0.153968180484828,0.171934937888321,0.00199471219241416,0.00208113768307037,-0.000689048307495243,-0.000783809960807652,,,,,FALSE,FALSE,FALSE
Male_LAN_CVR_mimic,-0.00043122116578415,-0.000211655257873686,0.0753570874029746,0.0826220731050788,-0.00133229916149571,-0.00130022566436281,-3.24955710800088e-05,-1.7487396189114e-05,-0.00177457923301085,-0.0017983398920942,0.000963152168512045,0.00112981637850506,FALSE,FALSE,FALSE
Male_LAN_FRS,0.0213207234665851,0.0226191152227164,0.0717126387957606,0.0780007386650268,0.000629535957145293,0.000476428714253362,0.00152896534082352,0.00176430769532123,-0.000220026739437046,-5.46590367671514e-05,0.0043611945694225,0.00493702107339882,FALSE,FALSE,FALSE
Male_LAN_Age_bl,-0.00445919256749091,-0.00455192559042623,0.0770312592419487,0.0835848769756748,0.00184913684298026,0.00187669716274411,-0.000343497218676163,-0.000380472140478202,,,,,FALSE,FALSE,FALSE
Male_EXF_CVR_mimic,-0.000370758832665427,-0.000153901973378016,0.127050884205138,0.14134733252389,0.00216486961043043,0.00229255907450834,-4.71052375170073e-05,-2.17536334071453e-05,-0.00191856685453952,-0.00208637152353038,0.00172979477660488,0.00199291559738655,FALSE,FALSE,FALSE
Male_EXF_FRS,0.0211299091846844,0.0224256525964016,0.12677926965524,0.139605476282779,0.00112496122477114,0.000799523730586313,0.00267883445431583,0.00313074391167278,0.000895338218279649,0.00116840609131826,0.00609801835108501,0.0069522089802004,TRUE,TRUE,FALSE
Male_EXF_Age_bl,-0.00445976192977618,-0.00455144608624821,0.130172848726366,0.142676116168811,0.00376292207637031,0.00381971452291698,-0.000580539915040361,-0.00064938265053763,,,,,FALSE,FALSE,FALSE
Female_MEM_CVR_mimic,0.00618151339866166,0.00779389772387219,0.142329916918603,0.147748578473986,0.00751038037225647,0.00724093832024461,0.000879814288462745,0.00115153730947375,-0.000903265733254132,-0.000871482673195236,0.00405301447046572,0.00418443955641088,FALSE,FALSE,FALSE
Female_MEM_FRS,0.0308714930697781,0.0307918767202295,0.14580094056116,0.151495683127766,-0.000292780437354518,-0.000484620785792306,0.00450109272610098,0.00466483639851712,0.000631751750768297,0.000656957868549155,0.0136247950246459,0.0130705250545948,TRUE,TRUE,FALSE
Female_MEM_Age_bl,-0.000162791406652695,0.000202720642320147,0.146638016061233,0.152621172715398,0.000331975161361274,0.000285031825428465,-2.38714089033685e-05,3.09394621645197e-05,,,,,FALSE,FALSE,FALSE
Female_LAN_CVR_mimic,0.00624291722766759,0.00783425091240175,0.0577837370856061,0.0412139930103611,0.00348913555773099,0.00348782909421425,0.000360739087730745,0.000322880762345141,-0.000391139530874205,-0.000430396273386247,0.00282607598997305,0.0027674764423699,FALSE,FALSE,FALSE
Female_LAN_FRS,0.031416552060311,0.0315747601542283,0.0587957265959381,0.0418206441594511,-0.000342560699999031,0.000143586689587398,0.0018471590055251,0.00132047680883,-0.00127294742672035,-0.00176129609590406,0.00851056194312924,0.00794030612068853,FALSE,FALSE,FALSE
Female_LAN_Age_bl,-0.000170189863714791,0.000184934309349591,0.0580805080326842,0.0411601178710508,0.000555555748776015,0.000533670146429762,-9.88471374656837e-06,7.61191797123055e-06,,,,,FALSE,FALSE,FALSE
Female_EXF_CVR_mimic,0.00650133253811155,0.0080495021280685,0.155928313253533,0.141402067450617,0.00462596967716108,0.00451542628733743,0.00101374181656804,0.00113821624285703,-0.000696392038427741,-0.000492176169022927,0.00454769837909942,0.00480466975228544,FALSE,FALSE,FALSE
Female_EXF_FRS,0.0323483984543829,0.0323016656275589,0.163972634133913,0.14748479707218,-0.00254647159619669,-0.00209989095557954,0.00530425210457855,0.00476400460017393,0.000611440798269474,0.00041611296611036,0.0141041720589167,0.0133803035494526,TRUE,TRUE,FALSE
Female_EXF_Age_bl,-0.000126089981881505,0.000223115963492256,0.157797439694604,0.142220029920659,0.00224455303494746,0.00220332196486329,-1.98966763120404e-05,3.17315590036454e-05,,,,,FALSE,FALSE,FALSE
